ID,Название,Дата начала,Статус
736,Project 736,2023-08-23,Завершен
737,Project 737,2023-11-07,Завершен
738,Project 738,2023-05-22,В процессе
739,Project 739,2023-09-21,Завершен
740,Project 740,2023-03-08,В процессе
741,Project 741,2023-08-09,В процессе
742,Project 742,2023-04-23,В процессе
743,Project 743,2023-09-19,В процессе
744,Project 744,2023-02-21,Завершен
745,Project 745,2023-08-01,Завершен
746,Project 746,2023-12-11,Завершен
747,Project 747,2023-04-15,В процессе
748,Project 748,2023-10-06,В процессе
749,Project 749,2023-11-30,Завершен
750,Project 750,2023-09-07,В процессе
751,Project 751,2023-06-29,В процессе
752,Project 752,2023-11-05,В процессе
753,Project 753,2023-05-15,В процессе
754,Project 754,2023-12-05,В процессе
755,Project 755,2023-06-08,Завершен
756,Project 756,2023-07-18,Завершен
757,Project 757,2023-07-07,Завершен
758,Project 758,2023-01-22,В процессе
759,Project 759,2023-09-07,В процессе
760,Project 760,2023-10-16,Завершен
761,Project 761,2023-01-10,В процессе
762,Project 762,2023-10-05,В процессе
763,Project 763,2023-05-11,Завершен
764,Project 764,2023-10-27,В процессе
765,Project 765,2023-02-25,Завершен
766,Project 766,2023-02-01,В процессе
767,Project 767,2023-02-06,В процессе
768,Project 768,2023-08-28,Завершен
769,Project 769,2023-01-28,В процессе
770,Project 770,2023-12-04,Завершен
771,Project 771,2023-05-10,В процессе
772,Project 772,2023-03-23,В процессе
773,Project 773,2023-02-24,В процессе
774,Project 774,2023-04-22,В процессе
775,Project 775,2023-07-29,В процессе
776,Project 776,2023-01-14,В процессе
777,Project 777,2023-11-30,В процессе
778,Project 778,2023-04-14,В процессе
779,Project 779,2023-11-25,В процессе
780,Project 780,2023-08-31,В процессе
781,Project 781,2023-04-26,Завершен
782,Project 782,2023-03-31,В процессе
783,Project 783,2023-11-07,В процессе
784,Project 784,2023-07-25,Завершен
785,Project 785,2023-11-08,В процессе
786,Project 786,2023-05-14,Завершен
787,Project 787,2023-04-14,В процессе
788,Project 788,2023-02-16,Завершен
789,Project 789,2023-06-15,Завершен
790,Project 790,2023-09-20,Завершен
791,Project 791,2023-05-10,Завершен
792,Project 792,2023-04-14,Завершен
793,Project 793,2023-11-01,Завершен
794,Project 794,2023-05-28,В процессе
795,Project 795,2023-06-29,Завершен
796,Project 796,2023-10-15,В процессе
797,Project 797,2023-08-17,В процессе
798,Project 798,2023-05-17,В процессе
799,Project 799,2023-12-22,В процессе
800,Project 800,2023-03-29,Завершен
801,Project 801,2023-07-23,В процессе
802,Project 802,2023-01-01,В процессе
803,Project 803,2023-11-17,В процессе
804,Project 804,2023-12-02,Завершен
805,Project 805,2023-03-04,В процессе
806,Project 806,2023-04-01,В процессе
807,Project 807,2023-03-03,Завершен
808,Project 808,2023-07-04,В процессе
809,Project 809,2023-10-30,Завершен
810,Project 810,2023-12-20,Завершен
811,Project 811,2023-04-13,В процессе
812,Project 812,2023-09-05,Завершен
813,Project 813,2023-08-25,Завершен
814,Project 814,2023-07-23,Завершен
815,Project 815,2023-01-17,Завершен
816,Project 816,2023-02-26,Завершен
817,Project 817,2023-06-20,В процессе
818,Project 818,2023-03-29,В процессе
819,Project 819,2023-04-30,В процессе
820,Project 820,2023-02-27,Завершен
821,Project 821,2023-05-21,В процессе
822,Project 822,2023-04-24,Завершен
823,Project 823,2023-03-14,В процессе
824,Project 824,2023-08-27,Завершен
825,Project 825,2023-04-15,В процессе
826,Project 826,2023-05-25,Завершен
827,Project 827,2023-09-09,Завершен
828,Project 828,2023-05-23,Завершен
829,Project 829,2023-01-21,В процессе
830,Project 830,2023-11-12,Завершен
831,Project 831,2023-10-30,Завершен
832,Project 832,2023-01-11,В процессе
833,Project 833,2023-08-27,Завершен
834,Project 834,2023-06-11,Завершен
835,Project 835,2023-07-05,В процессе
836,Project 836,2023-07-02,В процессе
837,Project 837,2023-01-28,Завершен
838,Project 838,2023-04-07,В процессе
839,Project 839,2023-04-14,В процессе
840,Project 840,2023-09-25,В процессе
841,Project 841,2023-04-11,В процессе
842,Project 842,2023-01-20,Завершен
843,Project 843,2023-07-27,В процессе
844,Project 844,2023-09-28,Завершен
845,Project 845,2023-01-19,В процессе
846,Project 846,2023-05-09,В процессе
847,Project 847,2023-05-28,В процессе
848,Project 848,2023-09-08,В процессе
849,Project 849,2023-07-24,Завершен
850,Project 850,2023-07-19,В процессе
851,Project 851,2023-04-16,В процессе
852,Project 852,2023-03-14,В процессе
853,Project 853,2023-01-28,Завершен
854,Project 854,2023-02-20,В процессе
855,Project 855,2023-02-25,Завершен
856,Project 856,2023-02-14,Завершен
857,Project 857,2023-11-12,Завершен
858,Project 858,2023-11-19,Завершен
859,Project 859,2023-05-09,Завершен
860,Project 860,2023-06-28,В процессе
861,Project 861,2023-11-07,В процессе
862,Project 862,2023-09-03,Завершен
863,Project 863,2023-01-21,В процессе
864,Project 864,2023-12-22,В процессе
865,Project 865,2023-12-16,В процессе
866,Project 866,2023-08-04,В процессе
867,Project 867,2023-08-10,В процессе
868,Project 868,2023-04-28,Завершен
869,Project 869,2023-03-14,Завершен
870,Project 870,2023-08-12,В процессе
871,Project 871,2023-04-05,В процессе
872,Project 872,2023-08-20,Завершен
873,Project 873,2023-10-23,Завершен
874,Project 874,2023-01-07,Завершен
875,Project 875,2023-11-09,Завершен
876,Project 876,2023-12-26,Завершен
877,Project 877,2023-09-15,Завершен
878,Project 878,2023-09-26,В процессе
879,Project 879,2023-07-04,Завершен
880,Project 880,2023-10-10,В процессе
881,Project 881,2023-10-25,Завершен
882,Project 882,2023-02-10,Завершен
883,Project 883,2023-05-05,Завершен
884,Project 884,2023-01-02,В процессе
885,Project 885,2023-11-27,В процессе
886,Project 886,2023-06-10,Завершен
887,Project 887,2023-03-05,В процессе
888,Project 888,2023-05-09,Завершен
889,Project 889,2023-09-29,Завершен
890,Project 890,2023-01-12,В процессе
891,Project 891,2023-02-01,Завершен
892,Project 892,2023-05-28,Завершен
893,Project 893,2023-03-08,Завершен
894,Project 894,2023-05-09,Завершен
895,Project 895,2023-02-25,Завершен
896,Project 896,2023-01-25,Завершен
897,Project 897,2023-05-15,Завершен
898,Project 898,2023-09-14,В процессе
899,Project 899,2023-03-18,В процессе
900,Project 900,2023-04-25,В процессе
901,Project 901,2023-05-24,Завершен
902,Project 902,2023-06-18,Завершен
903,Project 903,2023-08-07,Завершен
904,Project 904,2023-01-17,В процессе
905,Project 905,2023-08-18,Завершен
906,Project 906,2023-03-29,В процессе
907,Project 907,2023-07-11,Завершен
908,Project 908,2023-04-12,В процессе
909,Project 909,2023-04-19,В процессе
910,Project 910,2023-01-08,В процессе
911,Project 911,2023-03-18,В процессе
912,Project 912,2023-03-07,Завершен
913,Project 913,2023-12-22,В процессе
914,Project 914,2023-08-07,Завершен
915,Project 915,2023-01-10,Завершен
916,Project 916,2023-05-07,Завершен
917,Project 917,2023-06-17,В процессе
918,Project 918,2023-07-23,В процессе
919,Project 919,2023-11-06,В процессе
920,Project 920,2023-03-25,В процессе
921,Project 921,2023-03-02,В процессе
922,Project 922,2023-09-04,Завершен
923,Project 923,2023-11-01,В процессе
924,Project 924,2023-05-28,Завершен
925,Project 925,2023-11-19,Завершен
926,Project 926,2023-05-30,В процессе
927,Project 927,2023-07-24,В процессе
928,Project 928,2023-10-03,В процессе
929,Project 929,2023-05-28,В процессе
930,Project 930,2023-02-08,В процессе
931,Project 931,2023-03-23,Завершен
932,Project 932,2023-03-27,Завершен
933,Project 933,2023-06-28,Завершен
934,Project 934,2023-03-24,В процессе
935,Project 935,2023-06-22,Завершен
936,Project 936,2023-10-11,Завершен
937,Project 937,2023-08-07,В процессе
938,Project 938,2023-03-25,Завершен
939,Project 939,2023-11-13,В процессе
940,Project 940,2023-09-19,В процессе
941,Project 941,2023-02-02,Завершен
942,Project 942,2023-03-10,Завершен
943,Project 943,2023-03-14,Завершен
944,Project 944,2023-05-15,Завершен
945,Project 945,2023-10-11,Завершен
946,Project 946,2023-10-20,В процессе
947,Project 947,2023-11-18,Завершен
948,Project 948,2023-09-24,Завершен
949,Project 949,2023-12-29,Завершен
950,Project 950,2023-07-19,Завершен
951,Project 951,2023-06-05,Завершен
952,Project 952,2023-11-19,В процессе
953,Project 953,2023-11-26,В процессе
954,Project 954,2023-07-19,Завершен
955,Project 955,2023-02-06,В процессе
956,Project 956,2023-12-13,В процессе
957,Project 957,2023-04-05,Завершен
958,Project 958,2023-05-24,В процессе
959,Project 959,2023-12-08,Завершен
960,Project 960,2023-04-14,Завершен
961,Project 961,2023-12-19,Завершен
962,Project 962,2023-04-11,Завершен
963,Project 963,2023-10-25,В процессе
964,Project 964,2023-03-13,Завершен
965,Project 965,2023-05-02,Завершен
966,Project 966,2023-10-15,В процессе
967,Project 967,2023-01-28,Завершен
968,Project 968,2023-05-12,В процессе
969,Project 969,2023-11-07,В процессе
970,Project 970,2023-10-12,Завершен
971,Project 971,2023-10-15,В процессе
972,Project 972,2023-09-09,Завершен
973,Project 973,2023-03-07,В процессе
974,Project 974,2023-05-02,В процессе
975,Project 975,2023-08-27,В процессе
976,Project 976,2023-11-11,В процессе
977,Project 977,2023-03-24,В процессе
978,Project 978,2023-08-13,В процессе
979,Project 979,2023-12-14,В процессе
980,Project 980,2023-10-21,В процессе
981,Project 981,2023-10-23,В процессе
982,Project 982,2023-10-14,Завершен
983,Project 983,2023-12-30,Завершен
984,Project 984,2023-06-05,В процессе
985,Project 985,2023-02-03,В процессе
986,Project 986,2023-10-18,В процессе
987,Project 987,2023-06-19,В процессе
988,Project 988,2023-11-22,В процессе
989,Project 989,2023-04-17,Завершен
990,Project 990,2023-06-04,В процессе
991,Project 991,2023-12-05,Завершен
992,Project 992,2023-02-18,Завершен
993,Project 993,2023-12-18,Завершен
